2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Corrida,300
2026-01-17,Corrida,300
2026-01-17,Corrida,300
2026-01-17,Running,300
2026-01-17,Corrida,300
2026-01-17,Corrida,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
2026-01-17,Running,300
