2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Banana,100
2026-01-17,Apple,95
2026-01-17,Apple,95
2026-01-17,Banana,100
2026-01-17,Banana,100
